,close,diff,open,high,low,volume,agency,foreign
2020.01.15,244000.0,0.0,244000.0,244000.0,244000.0,30440.0,,
2020.01.14,244000.0,2000.0,243500.0,246000.0,242500.0,187560.0,-54944.0,25389.0
2020.01.13,242000.0,-2500.0,243500.0,245500.0,241500.0,199273.0,-20433.0,-17495.0
2020.01.10,246500.0,1500.0,245500.0,247500.0,245000.0,58911.0,-14867.0,-2440.0
2020.01.09,245000.0,0.0,245000.0,248500.0,243000.0,283945.0,-33700.0,13992.0
2020.01.08,245000.0,-7500.0,248000.0,256500.0,244000.0,317886.0,-40928.0,13433.0
2020.01.07,252500.0,3000.0,252000.0,255000.0,249000.0,251361.0,-12865.0,29146.0
2020.01.06,249500.0,-500.0,250000.0,252000.0,248000.0,130109.0,-43665.0,45533.0
2020.01.03,250000.0,2500.0,249000.0,250500.0,244500.0,255475.0,-94012.0,72814.0
2020.01.02,247500.0,-8500.0,254500.0,256000.0,247500.0,214585.0,-72983.0,18862.0
2019.12.30,256000.0,-1500.0,260500.0,260500.0,256000.0,106749.0,5971.0,-9871.0
2019.12.27,257500.0,-3500.0,258000.0,262000.0,255000.0,106529.0,-20786.0,7139.0
2019.12.26,261000.0,3500.0,259500.0,261500.0,257000.0,126392.0,12279.0,22187.0
2019.12.24,257500.0,-2500.0,258500.0,261000.0,256500.0,161771.0,25805.0,-18342.0
2019.12.23,260000.0,-2000.0,263000.0,263000.0,258000.0,204087.0,7766.0,-9412.0
2019.12.20,262000.0,1000.0,261500.0,262500.0,258500.0,242192.0,-7153.0,15188.0
2019.12.19,261000.0,-6000.0,265000.0,266000.0,257000.0,250200.0,-28354.0,-9917.0
2019.12.18,267000.0,3500.0,259500.0,268500.0,259000.0,317144.0,-36596.0,44448.0
2019.12.17,263500.0,3000.0,267000.0,267000.0,261000.0,540074.0,-23394.0,26259.0
2019.12.16,260500.0,0.0,263000.0,263000.0,259500.0,234196.0,18579.0,-29397.0
2019.12.13,260500.0,1000.0,261000.0,263000.0,258000.0,243561.0,9651.0,-22871.0
2019.12.12,259500.0,3500.0,256000.0,260000.0,254000.0,409684.0,7711.0,-10482.0
