stock_name,acc_test,acc_eval,expected_value,buy_percent,pred_sell,pred_hold,pred_buy
033640,네패스 ,0.6358,0.5556,4.8531,0.03,0.1477,0.2246,0.6277
033780,KT&G ,0.5986,0.4672,2.449,0.045,0.1317,0.721,0.1473
058470,리노공업 ,0.6263,0.5,3.1847,0.105,0.5946,0.3705,0.0349
090460,비에이치 ,0.6283,0.4854,4.9808,0.145,0.0951,0.0747,0.8302
036540,SFA반도체 ,0.593,0.4906,4.186,0.09,0.2447,0.0668,0.6885
025980,아난티 ,0.6015,0.3788,4.7831,0.09,0.0085,0.0027,0.9888
035600,KG이니시스 ,0.5955,0.3898,4.7619,0.05,0.8772,0.0572,0.0656
122630,KODEX 레버리지 ,0.6306,0.5401,2.7342,0.11,0.3969,0.5972,0.0059
012330,현대모비스 ,0.5943,0.4565,3.2468,0.035,0.3815,0.5843,0.0343
028150,GS홈쇼핑 ,0.5994,0.54,3.1627,0.005,0.0127,0.9456,0.0417
067630,에이치엘비생명과학 ,0.6423,0.5,5.0,0.13,0.0795,0.0588,0.8617
090430,아모레퍼시픽 ,0.6032,0.4386,3.3333,0.125,0.2472,0.0663,0.6864
029960,코엔텍 ,0.6122,0.5342,4.1322,0.145,0.0963,0.2648,0.6389
141080,레고켐바이오 ,0.6232,0.4175,5.5258,0.03,0.0767,0.7364,0.1869
041960,코미팜 ,0.6226,0.4032,4.4355,0.035,0.0721,0.8695,0.0583
011070,LG이노텍 ,0.6088,0.3884,4.127,0.05,0.2327,0.5883,0.179
066570,LG전자 ,0.6114,0.4476,3.2226,0.02,0.1637,0.7853,0.051
053800,안랩 ,0.6402,0.443,3.537,0.055,0.385,0.0415,0.5735
200130,콜마비앤에이치 ,0.6262,0.4143,3.5484,0.06,0.2291,0.0059,0.765
006800,미래에셋대우 ,0.5943,0.4425,3.6697,0.015,0.0283,0.1538,0.8179
044340,위닉스 ,0.6035,0.4655,4.4053,0.045,0.5029,0.2714,0.2257
069500,KODEX 200 ,0.64,0.3421,1.6738,0.005,0.285,0.6152,0.0999
