stock_name,acc_test,acc_eval,expected_value,buy_percent,pred_sell,pred_hold,pred_buy
011170,롯데케미칼 ,0.6401,0.2727,4.3841,0.05,0.623,0.3344,0.0427
067160,아프리카TV ,0.6307,0.0,5.0926,0.0,0.1635,0.218,0.6185
005830,DB손해보험 ,0.6058,0.3,3.5714,0.05,0.1617,0.2343,0.604
028150,GS홈쇼핑 ,0.6088,0.0,3.1596,0.0,0.2535,0.1099,0.6367
028670,팬오션 ,0.6,0.3333,4.2308,0.0833,0.1342,0.2296,0.6362
067630,에이치엘비생명과학 ,0.6685,0.5,5.0157,0.05,0.5976,0.0953,0.3072
064760,티씨케이 ,0.6252,0.8,4.955,0.0667,0.0835,0.8162,0.1002
071050,한국금융지주 ,0.5907,0.0,3.949,0.0,0.3238,0.2168,0.4593
069080,웹젠 ,0.6271,0.0,4.5833,0.0,0.888,0.0756,0.0364
086450,동국제약 ,0.6118,0.6667,2.9654,0.0333,0.3447,0.5695,0.0858
078930,GS ,0.6291,0.0,3.0303,0.0,0.1151,0.1724,0.7125
095700,제넥신 ,0.6331,0.5,4.6272,0.0667,0.6792,0.1735,0.1473
000810,삼성화재 ,0.5962,0.625,2.834,0.0833,0.1912,0.6892,0.1196
012750,에스원 ,0.581,0.0,2.8037,0.0,0.1456,0.3044,0.55
047810,한국항공우주 ,0.6144,0.0588,3.2143,0.0167,0.1682,0.2721,0.5596
004170,신세계 ,0.61,0.5,3.211,0.05,0.0629,0.9324,0.0047
053800,안랩 ,0.5819,0.3333,3.5336,0.0333,0.6164,0.3038,0.0798
005387,현대차2우B ,0.6237,0.0,3.3375,0.0,0.0861,0.6499,0.264
105560,KB금융 ,0.5809,0.5,2.7875,0.0167,0.7802,0.1002,0.1196
000270,기아차 ,0.6181,0.0,3.3083,0.0,0.682,0.2668,0.0512
006360,GS건설 ,0.6168,0.0,4.3663,0.0,0.4593,0.1954,0.3454
018880,한온시스템 ,0.587,0.1667,3.9216,0.0167,0.9051,0.0876,0.0073
005380,현대차 ,0.6044,0.0556,3.1863,0.0167,0.4783,0.4253,0.0964
000660,SK하이닉스 ,0.5948,0.5,4.2796,0.0167,0.4908,0.3448,0.1644
