stock_name,acc_test,acc_eval,expected_value,buy_percent,pred_sell,pred_hold,pred_buy
011170,롯데케미칼 ,0.6212,0.5565,4.4118,0.065,0.0,0.0,1.0
067160,아프리카TV ,0.6499,0.4143,5.1051,0.015,0.0,0.0,1.0
005830,DB손해보험 ,0.6182,0.4224,3.5714,0.06,0.0,1.0,0.0
028150,GS홈쇼핑 ,0.6191,0.5402,3.1627,0.02,0.0,1.0,0.0
028670,팬오션 ,0.5842,0.3953,4.2065,0.01,0.0,1.0,0.0
067630,에이치엘비생명과학 ,0.6524,0.4253,5.0,0.12,0.0,1.0,0.0
064760,티씨케이 ,0.634,0.4607,4.943,0.065,1.0,0.0,0.0
071050,한국금융지주 ,0.5894,0.4944,3.9539,0.035,0.0,0.0,1.0
069080,웹젠 ,0.5899,0.5327,4.5872,0.065,0.0,0.0,1.0
086450,동국제약 ,0.5944,0.4907,2.9654,0.11,1.0,0.0,0.0
078930,GS ,0.6015,0.1707,3.0303,0.05,0.0,1.0,0.0
095700,제넥신 ,0.6542,0.4095,4.6229,0.07,0.0,1.0,0.0
000810,삼성화재 ,0.5818,0.3897,2.834,0.105,1.0,0.0,0.0
012750,에스원 ,0.6288,0.5122,2.8099,0.0,0.0,1.0,0.0
047810,한국항공우주 ,0.6299,0.4272,3.2143,0.055,0.0,1.0,0.0
004170,신세계 ,0.6068,0.3932,3.2147,0.095,0.0,1.0,0.0
053800,안랩 ,0.5741,0.4125,3.5336,0.06,0.0,1.0,0.0
005387,현대차2우B ,0.5522,0.2875,3.3375,0.045,0.0,0.0,1.0
105560,KB금융 ,0.6113,0.4375,2.7875,0.04,0.0,1.0,0.0
000270,기아차 ,0.6061,0.4628,3.3083,0.005,1.0,0.0,0.0
006360,GS건설 ,0.5848,0.5397,4.3668,0.005,0.0,1.0,0.0
018880,한온시스템 ,0.5671,0.4462,3.9216,0.01,0.0,1.0,0.0
005380,현대차 ,0.6152,0.4113,3.1884,0.005,0.0,1.0,0.0
000660,SK하이닉스 ,0.5924,0.4316,4.2796,0.05,0.0,1.0,0.0
000100,유한양행 ,0.597,0.4327,2.8205,0.065,0.0,1.0,0.0
021240,웅진코웨이 ,0.6015,0.5155,3.4118,0.1,0.0,1.0,0.0
141080,레고켐바이오 ,0.582,0.4579,5.5276,0.025,1.0,0.0,0.0
028300,에이치엘비 ,0.6292,0.4355,6.087,0.02,1.0,0.0,0.0
016360,삼성증권 ,0.6121,0.3654,2.9364,0.0,0.0,1.0,0.0
042660,대우조선해양 ,0.625,0.2778,4.4944,0.085,1.0,0.0,0.0
058470,리노공업 ,0.5962,0.4948,3.1847,0.09,0.0,1.0,0.0
056190,에스에프에이 ,0.6201,0.4286,3.8591,0.13,1.0,0.0,0.0
